experiment,test_source,feature_type,model_type,model,f1,mcc,roc,pr,bal_acc,acc,best_params,train_samples,test_samples,anomaly_rate
Proxifier_hybrid,Proxifier,hybrid,supervised,rf,0.09280979092299847,0.005510342402325127,0.5621725869625279,0.05206374766744705,0.5032287597986901,0.1105,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,gb,0.1447267128560431,0.16969762523145698,0.7522197723615993,0.23779368791131247,0.6934167971352883,0.4445,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,xgb,0.13360881542699724,0.1557674400950206,0.7094332876467433,0.3257756724800353,0.6694692590646347,0.371,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,unsupervised,iso,0.05748663101604278,-0.1261627794947931,0.31145072078270336,0.03231411120715255,0.3653699259443851,0.295,N/A,10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,unsupervised,ocsvm,0.09260143198090692,0.007143050637539654,0.34255732944726447,0.034430804546324564,0.500525486074619,0.0495,N/A,10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,unsupervised,lof,0.07523204689789936,-0.2620099355079657,0.26447659961753284,0.030057717162729626,0.4047895076141307,0.0535,N/A,10000,2000,0.0485
Zookeeper_bert,Zookeeper,bert,supervised,nb,0.5119533527696793,0.15103373907404882,0.4790496543054682,0.6124748563149115,0.5740414833438089,0.5815,{'var_smoothing': 1e-09},10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,lr,0.4358322744599746,0.0917548419973902,0.5988967944688874,0.6719524169079069,0.5430798240100565,0.556,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,knn,0.46511627906976744,0.04557873584107462,0.5193055939660591,0.5905514496332215,0.5225518541797611,0.5285,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,svm,0.6239717978848414,0.35313709445829117,0.5613174104336895,0.7060375985184826,0.6726084223758643,0.68,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,dt,0.25560266505148393,-0.26021327659770677,0.46964022627278446,0.4714763991391171,0.3745191703331238,0.3855,"{'max_depth': 10, 'min_samples_split': 5}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,rf,0.6443202979515829,0.4261425308782263,0.7015371464487744,0.6385885325897541,0.7028661219358894,0.7135,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,gb,0.4912472647702407,0.06320018980130818,0.7223130106851037,0.6664983330164067,0.5315399120050283,0.535,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,supervised,xgb,0.6048780487804878,0.3459043360860142,0.6193176618478944,0.5912747484721823,0.666247642991829,0.676,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,unsupervised,iso,0.004052684903748734,-0.15434287798900578,0.30186700188560656,0.33492247147869925,0.473174104336895,0.5085,N/A,10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,unsupervised,ocsvm,0.6318758815232722,0.05914968056653098,0.49027580138277815,0.5004778377608251,0.5122313010685103,0.478,N/A,10000,2000,0.4625
Zookeeper_bert,Zookeeper,bert,unsupervised,lof,0.6311447232726023,0.004502814575912108,0.5822773098680075,0.5052597481114112,0.5004022627278442,0.4635,N/A,10000,2000,0.4625
Zookeeper_hybrid,Zookeeper,hybrid,supervised,nb,0.4743729552889858,0.02937930036325804,0.5177815210559397,0.5859019137134275,0.5146700188560653,0.518,{'var_smoothing': 1e-09},10000,2000,0.4625
Zookeeper_hybrid,Zookeeper,hybrid,supervised,lr,0.6484612050281752,0.23617575585039755,0.6139625392834696,0.669321808149671,0.6094406033940918,0.5945,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.4625
Zookeeper_hybrid,Zookeeper,hybrid,supervised,knn,0.2573623559539053,-0.20149816556071762,0.507081332495286,0.48677505656052067,0.40585795097423005,0.42,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.4625
Zookeeper_hybrid,Zookeeper,hybrid,supervised,svm,0.6685170499603489,0.26097470342589846,0.7371962287869266,0.7592301098445277,0.604978001257071,0.582,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.4625
